"title","zip_code","address","station_type","station","area","contract","date","direction","floor","points","price","admin","maintainance","methods","dis","deposit","key","renewal"
"レジディア今出川","602-0931","京都府京都市上京区堀出シ町","京都市営バス","今出川新町",22.2,2,"1999年03月","東、西
",7,"同志社大（今出川）徒歩5分
コンビニ徒歩3分
スーパー徒歩2分
",5.5,NA,6500,"徒歩",1,8,NA,6
"KTマンション","602-0032","京都府京都市上京区岡松町","京都市営烏丸線","今出川",15.1,2,"1984年03月","南、西、北
",3,"駅徒歩1分
光ネット無料
生活便利
",3.9,4500,NA,"徒歩",1,0,5,3.9
"築山マンション","602-0034","京都府京都市上京区築山南半町","京都市営烏丸線","今出川",16,1,"1987年01月","東
",3,"地下鉄烏丸線「今出川」駅徒歩4分
同志社大生にオススメ
家賃リーズナブル
",3.8,5500,NA,"徒歩",4,5,5,1.1
"大樋ハイツ","602-0031","京都府京都市上京区裏築地町93番4","京都市営烏丸線","今出川",15,1,"1980年03月","西
",3,"地下鉄「今出川」駅徒歩3分
同志社大生にオススメ
家賃リーズナブル
",2.6,4000,NA,"徒歩",3,4,2,0
"グリーンヒル上立売","602-0022","京都府京都市上京区上立売東町34-1","京都市営烏丸線","今出川",21,1,"1994年03月","東
",4,"駅近
独立洗面化粧台
コンビニ徒歩圏内
",5,2500,NA,"徒歩",4,0,8,0
"メゾン・ド・リュート","602-0931","京都府京都市上京区堀出シ町","京都市営烏丸線","今出川",20.8,2,"1987年08月","北
",10,"駅徒歩3分
地下鉄「今出川」駅徒歩3分
周辺環境充実
",4,5000,NA,"徒歩",4,6,0,0
"ラナップスクエア京都北野","602-8374","京都府京都市上京区西町","京福電気鉄道北野線","北野白梅町",20.3,2,"2000年08月","南東
",7,"駅徒歩1分
スーパー徒歩2分
コンビニ徒歩4分
",5.7,6900,NA,"徒歩",1,3,7,0
"第11長栄シャトー泉","602-0024","京都府京都市上京区上立売町","京都市営烏丸線","今出川",16,2,"1983年09月","北、南
",3,"交通便利
広々キッチン
生活便利
",3.5,3000,2000,"徒歩",6,3.9,3.9,3.6
"ピラーズ御所西","602-0907","京都府京都市上京区福長町532-2","京都市営烏丸線","今出川",23,2,"1997年03月","南
",4,"防犯カメラ
同志社大徒歩6分
室内洗濯機置場
",5,4000,2000,"徒歩",5,5,5,5
"デ・リード御所西","602-0941","京都府京都市上京区南兼康町341-2","京都市営烏丸線","今出川",58.6,2,"1994年10月","南
",11,"オートロック
エレベータ
3LDKタイプ
",14,NA,NA,"徒歩",6,0,0,14.5
"新町シャルム春奈","602-0024","京都府京都市上京区上立売町室町西入裏風呂町","京都市営烏丸線","今出川",20.8,2,"1989年10月","北
",3,"コインランドリー
地下鉄「今出川」駅へ徒歩7分
防犯カメラ
",3.9,3000,2000,"徒歩",8,0,3.9,3.9
"グリーンヒル塔ノ段","602-0817","京都府京都市上京区毘沙門横町371-1","京都市営烏丸線","今出川",22,1,"1993年12月","東、南
",4,"コンビニ徒歩圏内
商店街があり生活便利
鴨川で四季を感じられる
",5.2,3800,NA,"徒歩",13,0,8,0
"コスモハイツ今出川","602-0939","京都府京都市上京区弁財天町","京都市営烏丸線","今出川",23,1,"1994年03月","東
",4,"広々9.0帖
駅徒歩5分
交通便利
",5.3,2500,NA,"徒歩",6,0,5.3,0
"クレアーレ武者小路","602-0936","京都府京都市上京区西無車小路町597","京都市営烏丸線","今出川",24.6,2,"1998年10月","南
",5,"広々居室
カードキー
コンビニ徒歩圏内
",5.5,5000,NA,"徒歩",7,5,10,5.5
"アルカディア塔の段","602-0804","京都府京都市上京区上片原町390","京都市営烏丸線","今出川",15.1,2,"1991年05月","東、西
",3,"家賃リーズナブル
光ネット
買物便利
",3.5,4000,NA,"徒歩",14,0,0,3.5
"新町館","602-0026","京都府京都市上京区古木町413番地","京都市営烏丸線","今出川",29.2,1,"2011年03月","西、南
",4,"カメラ付フロントオートロック・防犯カメラ完備！
全室１０帖以上でお部屋広々♪
2017.6月温水洗浄便座新調！！
",5.9,7000,NA,"徒歩",9,7,0,0
"コーポルマン","602-0051","京都府京都市上京区御三軒町53","京都市営烏丸線","今出川",16.6,2,"1989年03月","東
",4,"交通便利
買物便利
生活便利
",3.7,5000,2000,"徒歩",9,5,0,3
"グランコスモ御所東","602-0832","京都府京都市上京区大原口町216-20","京阪本線","出町柳",25,2,"2002年01月","南
",5,"駅近
オートロック
セパレート
",6.3,3500,NA,"徒歩",7,0,12.6,0
"エガールパレス","602-0053","京都府京都市上京区中小川町","京都市営烏丸線","今出川",22,2,"1999年03月","東
",4,"同志社大生オススメ
スーパー徒歩3分
オール電化
",5,4000,NA,"徒歩",7,5,10,0
"シルクピア五匠","602-0052","京都府京都市上京区上小川町","京都市営バス","堀川今出川",27.4,1,"2011年01月","西、東
",4,"防犯カメラ
独立洗面台あり
洗濯機室内設置可
",6,6000,NA,"徒歩",5,7,6,0
"柊マンション","602-0004","京都府京都市上京区道正町459","京都市営烏丸線","今出川",20.2,1,"1979年03月","東
",3,"コインランドリーも屋上に完備！
１階には専門庭あり（洗濯機設置可能）
閑静な住宅街で落ち着いた生活送れます！
",3.2,6300,NA,"徒歩",7,8,NA,3
"御所北エクセル三宅","602-0891","京都府京都市上京区上御霊馬場町366-1","京都市営烏丸線","鞍馬口",36.3,2,"2005年03月","南
",5,"コンビニ徒歩5分
コンビニ徒歩5分
独立洗面化粧台
",6.2,6000,NA,"徒歩",5,6.2,15,6.2
"グランコスモ御所","602-0825","京都府京都市上京区表町","京阪本線","出町柳",29.4,2,"2010年01月","東
",4,"駅徒歩4分
ネット無料
床暖房
",7.9,2500,NA,"徒歩",4,0,8,10
"デトム・ワン鴨川","602-0802","京都府京都市上京区鶴山町","京都市営烏丸線","鞍馬口",17.5,2,"1986年01月","北東
",4,"京阪・地下鉄徒歩圏内で交通便利
銀行・郵便局も徒歩圏内
生活便利
",3.3,6000,NA,"徒歩",8,2,5,0
"メゾンカミゴリョー","602-0895","京都府京都市上京区上御霊前町401番地","京都市営烏丸線","鞍馬口",18.2,2,"1983年08月","西
",5,"敷金なし
ネット対応
IHキッチン
",3.7,NA,NA,"徒歩",4,0,0,0
"シリウス星の子","602-0054","京都府京都市上京区飛鳥井町２６３","京都市営烏丸線","今出川",18,2,"1995年01月","北
",11,"コンビニ徒歩圏内
同志社大徒歩圏内
洗濯機置場あり
",3.5,5000,NA,"徒歩",8,0,3,7
"グランコスモ今出川","602-0824","京都府京都市上京区一真町","京阪本線","出町柳",20,2,"2009年03月","東
",4,"交通便利
買物便利
生活便利
",7,3500,NA,"徒歩",4,0,14,0
"PIER西洞院","602-0922","京都府京都市上京区讃州寺町","京都市営烏丸線","今出川",20,2,"1988年02月","東
",3,"礼金・敷金なし
「今出川」駅徒歩4分
家賃リーズナブル
",3.5,4000,NA,"徒歩",10,0,0,1.1
"アビタシオン鴨川","602-0802","京都府京都市上京区鶴山町1","京都市営烏丸線","鞍馬口",33.2,2,"1991年03月","東
",4,"居室広々2路線利用可
広々居室
独立洗面化粧台
",4,5000,NA,"徒歩",12,5,10,4
"ハウスセゾン今出川河原町","602-0824","京都府京都市上京区一真町93","京阪本線","出町柳",26.3,2,"2003年03月","北
",11,"セパレート
オートロック
オール電化
",6,7000,NA,"徒歩",6,8,7,6
"プラネシア星の子京都御所","602-0956","京都府京都市上京区西町457","京都市営烏丸線","今出川",27.2,2,"2005年11月","南
",7,"セキュリティ充実
駅徒歩圏内
更新料なしプランあり
",5.2,6000,NA,"徒歩",11,0,12,5.2
"元土御門","602-8006","京都府京都市上京区元土御門町522","京都市営烏丸線","今出川",22.9,2,"1997年11月","北
",5,"ネット無料
セキュリティ充実
居室8帖以上
",5.7,7000,NA,"徒歩",12,5,5,5.7
"コスモハイツ新町Ⅱ","602-0003","京都府京都市上京区大心院町7","京都市営烏丸線","鞍馬口",22,1,"1991年10月","東、西
",3,"買物便利
生活便利
広々キッチン
",4.4,2500,NA,"徒歩",9,0,4.4,4.6
"プログレスふなはし","602-0056","京都府京都市上京区北舟橋町854","京都市営烏丸線","今出川",32.9,2,"2002年04月","東
",6,"ネット無料
広々居室
浴室乾燥機
",6,7000,NA,"徒歩",11,6,9,6
"コスモハイツ上御霊","602-0003","京都府京都市上京区大心院町","京都市営烏丸線","鞍馬口",16,1,"1991年03月","東
",2,"同志社大（今出川）徒歩10分
閑静な住宅地
地下鉄徒歩圏内
",2.6,2500,NA,"徒歩",8,0,2.6,0
"グランコスモ鴨川","602-0822","京都府京都市上京区青龍町218","京阪本線","出町柳",25,1,"1999年03月","東、西
",10,"同志社・同女大近
コンビニ徒歩圏内
スーパー徒歩圏内
",6.1,2500,NA,"徒歩",7,0,6.1,6.1
"京卓ハイツ","602-0842","京都府京都市上京区栄町","京阪本線","出町柳",18.2,2,"1995年04月","南、北
",5,"バス停徒歩1分
セパレート
生活便利
",5.2,5000,NA,"徒歩",8,7,5,5.2
"ハウスセゾンビル","602-8202","京都府京都市上京区栄町364","京阪本線","出町柳",23,2,"1988年12月","東、西
",8,"2F管理会社
バス停徒歩1分
光ネット
",4.3,5000,NA,"徒歩",6,7,3,4.3
"ドーミー鴨川公園","603-8135","京都府京都市北区出雲路俵町","京都市営烏丸線","鞍馬口",15.9,1,"2011年04月","東
",3,"静かな環境
女子専用
京阪線、地下鉄の2WAYアクセス
",6.25,NA,NA,"徒歩",12,0,NA,0
"エクレール葵","602-0822","京都府京都市上京区青龍町209","京都市営バス","葵橋西詰",24.5,2,"1995年01月","東
",5,"オートロック
京阪徒歩圏内で移動も楽々
郵便局・銀行徒歩圏内
",4.8,6000,NA,"徒歩",1,5,5,4.8
"ISEHAN21","602-0822","京都府京都市上京区青龍町242","京都市営バス","河原町今出川",20.4,2,"1997年03月","西
",6,"リーズナブルなセパレート
インターネット無料！
コンビニはモチロン大型スーパーもスグ近くです。
",5,6000,NA,"徒歩",5,7,10,5
"ペルベーネタカラ","602-8422","京都府京都市上京区山名町800番1","京都市営烏丸線","今出川",19.5,2,"1990年03月","南
",5,"ネット無料
南向き
大型バイク可
",4.4,5000,NA,"徒歩",13,0,0,0
"コーポ久世","603-8138","京都府京都市北区天寧寺門前町","京都市営烏丸線","鞍馬口",31.5,2,"1986年02月","西
",3,"駅近
温水洗浄便座
バイク駐輪可
",6,3000,NA,"徒歩",7,5,5,6
"プランドールSHINWA","602-8075","京都府京都市上京区下小川町185","京都市営烏丸線","今出川",23.4,2,"2013年03月","西
",4,"オール電化
独立洗面化粧台
浴室乾燥機
",6.7,6000,NA,"徒歩",13,5,10,5
"コスモハイツ河原町","602-0841","京都府京都市上京区梶井町","京阪本線","出町柳",22,1,"1996年08月","西
",5,"スーパー徒歩圏内
バス停徒歩圏内
1F管理会社
",5.1,2500,NA,"徒歩",6,0,5.1,5.8
"グレースヒサ","603-8152","京都府京都市北区小山町225-5","京都市営烏丸線","鞍馬口",19,2,"1988年08月","西
",3,"家賃リーズナブル
居室広々8帖
スーパーも徒歩圏内・お買物も便利
",3.8,3000,2000,"徒歩",4,0,5,3.8
"ハウスセゾン鞍馬口","603-8153","京都府京都市北区長乗東町199","京都市営烏丸線","鞍馬口",20.6,2,"1995年03月","東
",6,"生活便利な立地
スーパー徒歩2分
コンビニ徒歩4分
",5,5000,NA,"徒歩",5,5,5,5
"アクアレリスト今出川","602-8434","京都府京都市上京区西船橋町","京都市営烏丸線","今出川",34.3,2,"2009年02月","南、北
",11,"2人入居可
広々居室
新耐震基準マンション
",7.5,8000,NA,"徒歩",11,5,5,0
"GRAND　VALUE西陣","602-8413","京都府京都市上京区大北小路東町","京都市営烏丸線","今出川",18.2,2,"1984年02月","南
",5,"",3.7,3500,NA,"徒歩",13,0,0,0
"グリーンヒル鞍馬口","603-8139","京都府京都市北区上善寺門前町331","京都市営烏丸線","鞍馬口",27,2,"1992年03月","南
",4,"セパレート
敷金なし
2人入居可
",5.9,5000,NA,"徒歩",7,0,5,0
"スタジオエフ","603-8151","京都府京都市北区小山下総町","京都市営烏丸線","鞍馬口",27.8,2,"2018年03月","東
",3,"スーパーや100円均一も近いので、お買い物便利です
交通便利
充実設備
",6.7,4000,NA,"徒歩",4,6.7,13.4,6.7
"ドルフソレイユ鞍馬口","603-8154","京都府京都市北区長乗西町","京都市営烏丸線","鞍馬口",28.2,2,"2014年01月","南
",4,"築浅女子専用
ネット無料
防犯システム
",6.3,6000,NA,"徒歩",6,5,15,6.3
"レ・タン・ドゥ・ラ・メールCKⅤ","602-8435","京都府京都市上京区元伊佐町278-3","京都市営烏丸線","今出川",17.9,2,"1994年03月","南
",9,"洗濯機置場あり
大型コインランドリー
同志社大徒歩圏内
",4.6,5000,2000,"徒歩",12,0,4.6,0
"登翔館","606-0801","京都府京都市左京区下鴨宮河町","京都市営バス","新葵橋",17.6,2,"1978年08月","北、西、南
",5,"女子学生専用
モニター付インターフォン
家主近隣在住
",2.98,3000,NA,"徒歩",1,7,0,0
"sawarabi terrace","602-8215","京都府京都市上京区寺今町513","京都市営烏丸線","今出川",27.5,2,"2012年03月","東
",5,"セキュリティ充実
更新料ナシ
ダブルロックキー
",6.5,6000,NA,"徒歩",15,0,12,0
"sawarabi如水","602-8231","京都府京都市上京区如水町","京都市営烏丸線","今出川",19,2,"1900年01月","東
",4,"モニター付インターフォン
室内洗濯機置場
2口ガスコンロ持込可
",3.9,3000,NA,"徒歩",14,0,0,0
"SWISS京都堀川WEST","602-8058","京都府京都市上京区二町目","京都市営烏丸線","今出川",25.8,2,"2008年01月","西
",11,"ペット可
温水洗浄便座
独立洗面化粧台
",6.3,7000,NA,"徒歩",17,0,6.3,0
"SWISS京都堀川EAST","602-8058","京都府京都市上京区二町目","京都市営烏丸線","今出川",25,2,"2008年01月","南
",7,"ペット可
ネット無料
セパレート・独立洗面化粧台
",6.1,7000,NA,"徒歩",17,0,6.1,1
"丸共ビル","602-8442","京都府京都市上京区薬師町239","京都市営烏丸線","今出川",23,2,"1995年03月","東
",3,"広々8帖のお部屋
初期費用リーズナブル
最上階角部屋
",4.7,5000,NA,"徒歩",15,0,3,4.7
"ジョイフル紫野","602-0074","京都府京都市上京区下天神町","京都市営烏丸線","鞍馬口",19.5,2,"1992年03月","東
",11,"IHキッチン
大通り沿い
商店街徒歩圏内
",3.7,7000,NA,"徒歩",11,5,5,0
"セレッソ長者町","602-8055","京都府京都市上京区大黒屋町","京都市営烏丸線","丸太町",27.7,2,"2017年11月","東
",3,"浴室乾燥機
ゆとりの居室8帖以上
スーパー・コンビニ・病院徒歩圏内
",6.5,5000,NA,"徒歩",15,6.5,13,2
"グランドアベニュー","602-8442","京都府京都市上京区薬師町","京都市営烏丸線","今出川",24,2,"1995年07月","南
",3,"家賃リーズナブル
ネット無料
収納スペース豊富
",4.8,5000,NA,"徒歩",15,0,4.8,0
"グリーンヒル紫明","603-8149","京都府京都市北区小山南上総町14-1","京都市営烏丸線","鞍馬口",21.6,2,"1998年04月","南
",4,"全室南向き
敷金なし
コンビニ徒歩4分
",5.4,5000,NA,"徒歩",7,0,5.4,5.4
"シルクシティ花・紫明","603-8148","京都府京都市北区小山西花池町","京都市営烏丸線","鞍馬口",27.8,2,"2011年01月","東、南
",5,"交通便利
広々居室
オートロック
",6.5,5000,NA,"徒歩",7,5,6.5,6.5
"サイトウビル","602-8448","京都府京都市上京区元北小路町","京都市営烏丸線","今出川",16.5,2,"1986年03月","北、東
",9,"エレベーター
女子専用のコインランドリー
オール電化
",3.2,5000,NA,"徒歩",15,0,0,1.1
"VIOLA IWASA(ヴィオライワサ)","603-8149","京都府京都市北区小山南上総町70番地","京都市営烏丸線","鞍馬口",27.2,2,"2014年02月","南
",3,"セキュリティ充実
お部屋広々10帖
ネット無料
",6.7,4000,NA,"徒歩",6,6.7,13.4,0
"ヴィラ中立売","602-8237","京都府京都市上京区梨木町","京都市営烏丸線","今出川",22.2,2,"1996年03月","北、東
",6,"バス停徒歩4分
全室角部屋
家賃リーズナブル
",4.2,3000,NA,"徒歩",19,0,0,0
"コーポ町柳","606-8205","京都府京都市左京区田中上柳町10","京阪本線","出町柳",17.8,2,"1983年02月","南
",3,"南向き
駅近
生活便利
",3.4,5300,NA,"徒歩",5,0,0,3.4
"下鴨女子学生会館　テラッセ糺ノ森","606-0804","京都府京都市左京区下鴨松原町42-7","京都市営バス","糺ノ森",19.8,2,"1982年11月","南、東
",3,"水道料無料
セパレートあり
バス停徒歩1分
",4,5000,NA,"徒歩",1,5,5,4
"プティメゾン西陣","602-8407","京都府京都市上京区伊佐町239","京都市営烏丸線","今出川",15,2,"1980年08月","北
",3,"コインランドリー
礼金・敷金なし
",2.5,4000,NA,"徒歩",17,0,0,0
"グリーンヒル小山","603-8148","京都府京都市北区小山西花池町5-8","京都市営烏丸線","北大路",25,1,"2009年03月","東、南
",4,"ゆとりの居室
独立洗面化粧台
宅配BOX
",6.3,2500,NA,"徒歩",7,0,6.3,6.3
"KIマンション","603-8149","京都府京都市北区小山南上総町56-2","京都市営烏丸線","北大路",17,1,"1984年11月","北
",4,"駅近便利
ショッピングセンター徒歩圏内
洗濯機置場
",3.2,4000,2000,"徒歩",6,5,5,0
"A.t.s堀川","603-8158","京都府京都市北区紫野宮西町14番地4","京都市営バス","堀川鞍馬口",21.4,2,"2001年03月","東
",7,"セキュリティ充実
独立洗面化粧台
生活便利
",5.3,5000,NA,"徒歩",1,7,7,5.3
"ダイヤモンドパレス堀川","602-8056","京都府京都市上京区三町目13番地","京都市営烏丸線","丸太町",21.1,1,"1986年01月","西
",6,"堀川商店街すぐ徒歩圏内
コインランドリー
乾燥機もあり
",3.35,6000,NA,"徒歩",15,9,NA,3
"寺川ビル","603-8149","京都府京都市北区小山南上総町56番地","京都市営烏丸線","北大路",15,1,"2011年07月","東
",4,"駅徒歩圏内
生活便利
オシャレな居室
",4.35,5000,NA,"徒歩",3,0,5,1.1
"ヒューマンハイツ","602-8259","京都府京都市上京区常陸町432-23","京都市営烏丸線","今出川",22.8,2,"1990年04月","東
",4,"ネット無料
オートロック
セパレート
",4.5,3000,NA,"自転車",7,0,4.5,0
"フラッティ智恵光院","602-8446","京都府京都市上京区五辻町","京都市営バス","今出川浄福寺",22.6,2,"2017年02月","南
",4,"大型バイク駐車可！！
浴室乾燥機付き
インターネット無料
",6.1,6000,NA,"徒歩",3,0,12.2,6.1
"Luxe智恵光院","602-8408","京都府京都市上京区古美濃部町178-2","京都市営烏丸線","今出川",21.3,2,"2007年05月","西
",5,"ネット無料
温水洗浄便座
コンビニ徒歩3分
",5.5,6000,NA,"徒歩",19,5,5,5.5
"Y's　Ｆlats 西陣","602-8444","京都府京都市上京区西北小路町235","京都市営烏丸線","今出川",29.4,2,"2008年03月","南
",10,"原付き：500円／月・中・大型バイク：3千円／月
台所・洗面所・ユニットバスはＬＥＤ照明備付き
南向き
",6.2,6000,NA,"徒歩",17,6.2,9.3,6.2
"グランコスモ出町柳","606-8203","京都府京都市左京区田中関田町","京阪本線","出町柳",25,1,"2003年03月","南、北
",6,"コンビニ徒歩3分
交通便利
設備充実
",6.5,2500,NA,"徒歩",3,8,13,6.5
"プチシャトー１９","602-0091","京都府京都市上京区筋違橋町５６４－１","京都市営烏丸線","鞍馬口",26.6,2,"1989年10月","西
",4,"コンビニ徒歩1分
スーパー徒歩6分
2口コンロ持込可
",5.2,5000,NA,"徒歩",15,7,5.2,5.2
"賀茂女子学生会館","606-8203","京都府京都市左京区田中関田町","京阪本線","出町柳",19,1,"1984年03月","東
",5,"セキュリティ充実
女子専用
駅徒歩3分
",4.5,6000,NA,"徒歩",3,4.5,5,4.5
"プチロワイヤル","602-8113","京都府京都市上京区元福大明神町309","京都市営バス","堀川下立売",22,2,"1994年09月","西、東
",4,"商店街徒歩1分
スーパー徒歩5分
バス停徒歩1分
",3.95,NA,6000,"徒歩",1,2,NA,6
"生駒ハイツ","602-8481","京都府京都市上京区聖天町","京都市営烏丸線","今出川",15,1,"1981年03月","南
",4,"水道料・ネット代は共益費込
学生専用
コインランドリー無料
",3.1,5500,NA,"徒歩",19,5,5,0
"マーク西陣","602-8452","京都府京都市上京区元中之町493","京都市営烏丸線","今出川",17.2,2,"1988年01月","東
",4,"スーパー･コンビニ徒歩圏内
地下鉄今出川徒歩17分
鉄筋コンクリート造
",3.6,4000,NA,"徒歩",18,3.6,3.6,0
"ウエストポイント堀","602-8405","京都府京都市上京区大猪熊町51番地","京都市営バス",NA,NA,NA,NA,NA,NA,"セキュリティ充実
全室角部屋
中型・大型バイク駐輪無料
",5.5,5000,NA,NA,NA,0,5.5,NA
"第29長栄グランビュー下長者","602-8101","京都府京都市上京区東辰巳町","京都市営烏丸線","丸太町",20.1,2,"1991年04月","東
",5,"オートロック・エレベーター
ネット無料
お部屋は8.5帖と広々
",4.2,4000,NA,"自転車",8,0,4.2,4.2
"クラウンハイム京都北大路","603-8165","京都府京都市北区紫野西御所田町64","京都市営烏丸線","鞍馬口",25.4,2,"2002年02月","北西
",7,"地下鉄徒歩圏内
設備充実
きれいなお部屋
",5.6,5850,NA,"徒歩",14,5.6,5.6,0
"S-COURT","606-8205","京都府京都市左京区田中上柳町91","京阪本線","出町柳",31.7,4,"2017年09月","北西、南東
",4,"デザイナーズマンション
独立洗面化粧台
オートロック
",6.9,6000,NA,"徒歩",6,0,13.8,0
